84600.00,14,0,107310258.710,407,7
84600.00,14,3,83618522.255,249,4
84600.00,14,4,80134460.157,553,-8
84600.00,14,5,107310265.718,409,4
84600.00,30,0,114067092.347,-348,4
84600.00,30,3,88883572.484,161,-9
84600.00,30,4,85180112.426,397,-1
84600.00,9,0,122451752.515,-273,-11
84600.00,9,3,95416825.609,132,1
84600.00,9,4,91441417.210,251,-5
84600.00,19,0,122213196.553,222,-4
84600.00,136,24,206421331.418,47,-10
84600.00,7,0,123263118.611,-263,-3
84600.00,7,3,96049218.794,72,5
84600.00,17,0,116071775.574,440,-9
84600.00,17,3,90445604.951,157,7
84600.00,131,24,211012884.185,87,3
84600.00,89,17,141637073.465,96,-3
84600.00,89,20,105767897.369,82,-6
84600.00,89,21,108527047.212,96,6
84600.00,89,22,107147539.368,173,2
84600.00,89,19,114965080.220,71,0
84600.00,20,0,119440546.376,-228,6
84600.00,79,17,135230115.349,191,5
84600.00,79,20,100983687.239,223,-2
84600.00,79,21,103618014.032,269,-2
84600.00,79,22,102300860.208,490,-5
84600.00,79,19,109764802.406,232,6
84600.00,5,0,120240530.225,233,-7
84600.00,5,3,93694007.516,94,1
84600.00,13,0,119841641.719,-200,-14
84600.00,101,17,125012055.400,398,12
84600.00,101,20,93353329.403,386,-12
84600.00,101,21,95788601.628,430,-10
84600.00,101,22,94570978.091,815,-22
84600.00,101,19,101470930.517,409,-1
84600.00,94,17,141182751.968,155,-1
84600.00,94,20,105428765.254,138,0
84600.00,94,21,108179052.175,182,-8
84600.00,94,22,106803919.287,319,-8
84600.00,94,19,114596449.527,128,-3
84600.00,39,8,103344606.065,-494,-6
84600.00,39,11,80379284.809,-322,0
84600.00,39,9,103344623.079,-452,-4
84600.00,59,11,99361213.488,-41,-8
84600.00,74,17,122283539.263,417,20
84600.00,74,20,91315847.580,400,2
84600.00,74,21,93697971.239,450,2
84600.00,74,22,92506927.484,848,7
84600.00,74,19,99256270.451,419,11
84600.00,167,28,133425558.726,-110,1
84600.00,167,30,108419243.974,119,6
84600.00,167,13,134649688.075,103,-2
84600.00,167,14,100550118.546,126,-2
84600.00,167,34,103173165.383,118,-1
84600.00,177,28,118960047.368,-421,-3
84600.00,177,30,96664931.498,-436,15
84600.00,177,13,120051443.102,417,11
84600.00,177,14,89648979.845,404,-1
84600.00,177,34,91987626.690,383,13
84600.00,223,28,140102821.325,113,-6
84600.00,223,30,113845113.887,-165,-9
84600.00,223,13,141388219.370,97,-7
84600.00,223,14,105582126.696,102,3
84600.00,223,34,108336427.111,149,-5
84600.00,49,8,117933653.409,193,13
84600.00,49,11,91726287.709,166,-1
84600.00,49,9,117933638.422,-191,-1
84600.00,51,8,120457747.665,144,-3
84600.00,51,11,93689414.961,102,5
84600.00,51,9,120457738.671,-140,1
84600.00,50,8,109677009.227,-88,9
84600.00,50,11,85304461.800,118,1
84600.00,50,9,109677007.248,88,-1
84600.00,40,8,110096817.600,284,2
84600.00,40,11,85630911.410,262,4
84600.00,40,9,110096811.614,242,4
84600.00,168,28,128857448.826,-162,-8
84600.00,168,30,104707353.423,171,-1
84600.00,168,13,130039633.942,121,2
84600.00,168,14,97107621.089,93,1
84600.00,168,34,99640754.275,113,0
84600.00,160,28,116194959.366,470,-1
84600.00,160,30,94418015.137,-403,1
84600.00,160,13,117260981.523,403,11
84600.00,160,14,87565142.991,415,10
84600.00,160,34,89849431.990,369,1
84600.00,159,28,136792865.470,124,1
84600.00,159,30,111155429.222,-156,6
84600.00,159,13,138047869.803,98,15
84600.00,159,14,103087744.503,71,-1
84600.00,159,34,105777006.861,124,-1
84600.00,228,28,125796206.216,-224,-1
84600.00,228,30,102219788.735,238,-5
84600.00,228,13,126950317.607,209,-3
